tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
A2,4,0.52645503,0.32804233,0.52645503,0.14550265,0
A2,4,0.58928571,0.32142857,0.58928571,0.08928571,0
A2,3,0.5,0.17857143,0.5,0.21428571,0.10714286
B1,4,0.41071429,0,0.375,0.41071429,0.21428571
B1,4,0.51785714,0,0.30357143,0.51785714,0.17857143
B1,3,0.45874384,0.10344828,0.125,0.45874384,0.31280788
A1,4,0.38423645,0.29987685,0,0.3158867,0.38423645
A1,4,0.40147783,0.35160099,0,0.24692118,0.40147783
A1,4,0.55172414,0.31034483,0,0.13793103,0.55172414
A1,4,0.66810345,0.20874384,0,0.12315271,0.66810345
A1,4,0.78571429,0.10714286,0,0.10714286,0.78571429
A1,2,0.58928571,0.05357143,0.01785714,0.33928571,0.58928571
B1,3,0.50727513,0.16666667,0.14748677,0.50727513,0.17857143
B1,3,0.43584656,0.2202381,0.34391534,0.43584656,0
A2,4,0.52463054,0.17426108,0.52463054,0.30110837,0
A2,4,0.60664112,0.23180077,0.60664112,0.16155811,0
A2,4,0.59259259,0.22222222,0.59259259,0.18518519,0
A2,4,0.59986772,0.25396825,0.59986772,0.14616402,0
B2,3,0.36699507,0.36699507,0.30357143,0.27770936,0.05172414
B1,3,0.38485222,0.36699507,0,0.38485222,0.24815271
A1,4,0.44642857,0.26785714,0,0.28571429,0.44642857
A1,4,0.51785714,0.26785714,0,0.21428571,0.51785714
A1,4,0.60714286,0.19642857,0,0.19642857,0.60714286
A1,4,0.64285714,0.16071429,0,0.19642857,0.64285714
A1,3,0.55357143,0.10714286,0.01785714,0.32142857,0.55357143
B1,4,0.53571429,0,0.03571429,0.53571429,0.42857143
B1,3,0.51785714,0.125,0.17857143,0.51785714,0.17857143
B1,3,0.5,0.17857143,0.32142857,0.5,0
A2,4,0.48214286,0.16071429,0.48214286,0.35714286,0
A2,4,0.61772487,0.23677249,0.61772487,0.14550265,0
A2,3,0.52843915,0.34391534,0.52843915,0.07407407,0.05357143
B2,4,0.46428571,0.46428571,0.42857143,0,0.10714286
B2,3,0.49137931,0.49137931,0.19642857,0.15517241,0.1570197
B2,3,0.41995074,0.41995074,0,0.29802956,0.2820197
A1,4,0.41931217,0.32671958,0,0.25396825,0.41931217
A1,4,0.54431217,0.21957672,0,0.23611111,0.54431217
A1,4,0.58928571,0.14285714,0,0.26785714,0.58928571
