gen,s,a,tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
64,0.1,7,B1,2,0.31812169,0.22619048,0.18981481,0.31812169,0.26587302
65,0.1,7,B1,2,0.21428571,0.32142857,0.32142857,0.21428571,0.14285714
66,0.1,7,A2,4,0.46428571,0.26785714,0.46428571,0.10714286,0.16071429
67,0.1,7,A2,4,0.41071429,0.25892857,0.41071429,0.16964286,0.16071429
68,0.1,7,A2,4,0.26785714,0.25892857,0.26785714,0.26785714,0.20535714
69,0.1,7,A1,4,0.38392857,0.13558201,0.20833333,0.27215608,0.38392857
70,0.1,7,A1,4,0.47321429,0.1087963,0.13690476,0.28108466,0.47321429
71,0.1,7,A1,4,0.40178571,0.17857143,0.08035714,0.33928571,0.40178571
72,0.1,7,A1,4,0.33928571,0.16071429,0.16071429,0.33928571,0.33928571
73,0.1,7,B1,4,0.33035714,0.10714286,0.29464286,0.33035714,0.26785714
74,0.1,7,A2,4,0.35714286,0.14285714,0.35714286,0.28571429,0.21428571
75,0.1,7,A2,4,0.33035714,0.19642857,0.33035714,0.22321429,0.25
76,0.1,7,B2,4,0.29464286,0.29464286,0.25,0.24107143,0.21428571
77,0.1,7,B2,4,0.32142857,0.32142857,0.20535714,0.21428571,0.25892857
78,0.1,7,A1,4,0.32142857,0.28571429,0.1875,0.20535714,0.32142857
79,0.1,7,A1,4,0.3125,0.25892857,0.15178571,0.27678571,0.3125
80,0.1,7,B1,3,0.35714286,0.16964286,0.14285714,0.35714286,0.33035714
81,0.1,7,A1,3,0.34821429,0.13392857,0.1875,0.33035714,0.34821429
82,0.1,7,A1,3,0.33035714,0.14285714,0.20535714,0.32142857,0.33035714
83,0.1,7,B1,4,0.40178571,0.16071429,0.23214286,0.40178571,0.20535714
84,0.1,7,B1,3,0.41964286,0.17857143,0.23214286,0.41964286,0.16964286
85,0.1,7,B1,2,0.32142857,0.20535714,0.24107143,0.32142857,0.23214286
86,0.1,7,A2,3,0.29464286,0.25892857,0.29464286,0.17857143,0.26785714
87,0.1,7,A1,3,0.32142857,0.28571429,0.1875,0.20535714,0.32142857
88,0.1,7,A1,3,0.32142857,0.29464286,0.13392857,0.25,0.32142857
89,0.1,7,A1,4,0.35714286,0.27678571,0.16071429,0.20535714,0.35714286
90,0.1,7,A1,4,0.33928571,0.21428571,0.21428571,0.23214286,0.33928571
91,0.1,7,A2,3,0.36607143,0.1875,0.36607143,0.27678571,0.16964286
92,0.1,7,A2,3,0.32142857,0.23214286,0.32142857,0.3125,0.13392857
93,0.1,7,B1,4,0.34821429,0.22321429,0.21428571,0.34821429,0.21428571
94,0.1,7,A1,3,0.32142857,0.17857143,0.23214286,0.26785714,0.32142857
95,0.1,7,A1,4,0.33928571,0.15178571,0.24107143,0.26785714,0.33928571
96,0.1,7,A1,4,0.33035714,0.20535714,0.21428571,0.25,0.33035714
97,0.1,7,A1,4,0.40079365,0.22652116,0.13492063,0.23776455,0.40079365
98,0.1,7,A1,4,0.33829365,0.21759259,0.16170635,0.28240741,0.33829365
99,0.1,7,A1,4,0.3125,0.19642857,0.21428571,0.27678571,0.3125
100,0.1,7,A1,2,0.33035714,0.14285714,0.22321429,0.30357143,0.33035714
1,0.4,2,A1,3,0.56071429,0.04821429,0.07321429,0.31785714,0.56071429
2,0.4,2,A1,3,0.41286946,0.13054187,0.06157635,0.39501232,0.41286946
3,0.4,2,B1,4,0.48429803,0.14839901,0.02586207,0.48429803,0.34144089
4,0.4,2,B1,4,0.6875,0.0625,0.02678571,0.6875,0.22321429
5,0.4,2,B1,4,0.73214286,0.05357143,0.07142857,0.73214286,0.14285714
6,0.4,2,B1,4,0.69642857,0.04464286,0.08928571,0.69642857,0.16964286
7,0.4,2,B1,4,0.66071429,0,0.0625,0.66071429,0.27678571
8,0.4,2,B1,3,0.51785714,0.03571429,0.03571429,0.51785714,0.41071429
9,0.4,2,A1,4,0.45436508,0.0542328,0.05489418,0.43650794,0.45436508
10,0.4,2,A1,4,0.53472222,0.03637566,0.08167989,0.34722222,0.53472222
11,0.4,2,A1,4,0.58035714,0.03571429,0.05357143,0.33035714,0.58035714
12,0.4,2,A1,4,0.62130542,0.02647783,0.02616995,0.3260468,0.62130542
13,0.4,2,A1,4,0.71059113,0.02647783,0.01724138,0.24568966,0.71059113
14,0.4,2,A1,4,0.60714286,0.05357143,0.00892857,0.33035714,0.60714286
15,0.4,2,A1,3,0.53571429,0.07142857,0.00892857,0.38392857,0.53571429
16,0.4,2,B1,4,0.5,0.03571429,0,0.5,0.46428571
17,0.4,2,B1,4,0.7010582,0,0.01851852,0.7010582,0.28042328
18,0.4,2,B1,4,0.6385582,0,0.01851852,0.6385582,0.34292328
19,0.4,2,B1,4,0.54596561,0,0,0.54596561,0.45403439
20,0.4,2,B1,4,0.55555556,0.01851852,0,0.55555556,0.42592593
21,0.4,2,B1,4,0.5462963,0.01851852,0,0.5462963,0.43518519
22,0.4,2,B1,4,0.56481481,0,0.01851852,0.56481481,0.41666667
23,0.4,2,B1,4,0.59259259,0,0.03703704,0.59259259,0.37037037
24,0.4,2,B1,4,0.54662698,0.01785714,0.01851852,0.54662698,0.41699735
25,0.4,2,B1,4,0.50892857,0.01785714,0.0625,0.50892857,0.41071429
26,0.4,2,A1,4,0.46428571,0.00892857,0.07142857,0.45535714,0.46428571
27,0.4,2,A1,4,0.52740148,0.02616995,0.00892857,0.4375,0.52740148
28,0.4,2,A1,4,0.54310345,0.01724138,0,0.43965517,0.54310345
29,0.4,2,A1,4,0.60664112,0,0,0.39335888,0.60664112
30,0.4,2,A1,4,0.58201058,0,0,0.41798942,0.58201058
31,0.4,2,A1,3,0.5542328,0.02777778,0.02777778,0.39021164,0.5542328
32,0.4,2,A1,3,0.47222222,0.0462963,0.03703704,0.44444444,0.47222222
33,0.4,2,B1,4,0.60472542,0.01851852,0.05236271,0.60472542,0.32439336
34,0.4,2,B1,4,0.56034483,0.01724138,0.04310345,0.56034483,0.37931034
35,0.4,2,A1,3,0.48183498,0.05295567,0,0.46520936,0.48183498
36,0.4,2,A1,3,0.52678571,0.04464286,0,0.42857143,0.52678571
37,0.4,2,A1,3,0.60714286,0.00892857,0,0.38392857,0.60714286
38,0.4,2,A1,3,0.52678571,0.00892857,0,0.46428571,0.52678571
39,0.4,2,B1,4,0.52647783,0.02616995,0,0.52647783,0.44735222
40,0.4,2,B1,4,0.56034483,0.01724138,0,0.56034483,0.42241379
41,0.4,2,B1,4,0.6637931,0,0,0.6637931,0.3362069
42,0.4,2,B1,4,0.57758621,0,0,0.57758621,0.42241379
43,0.4,2,B1,4,0.53694581,0,0,0.53694581,0.46305419
44,0.4,2,B1,4,0.625,0,0.00892857,0.625,0.36607143
45,0.4,2,B1,4,0.54464286,0.04464286,0.00892857,0.54464286,0.40178571
46,0.4,2,A1,3,0.51600985,0.04464286,0,0.43934729,0.51600985
47,0.4,2,A1,4,0.58743842,0,0,0.41256158,0.58743842
48,0.4,2,A1,4,0.51785714,0,0.01785714,0.46428571,0.51785714
49,0.4,2,B1,4,0.53571429,0,0.01785714,0.53571429,0.44642857
50,0.4,2,B1,4,0.625,0,0,0.625,0.375
51,0.4,2,B1,4,0.57142857,0,0,0.57142857,0.42857143
52,0.4,2,B1,4,0.50800493,0.01724138,0,0.50800493,0.47475369
53,0.4,2,A1,4,0.49137931,0.02586207,0,0.48275862,0.49137931
54,0.4,2,A1,4,0.56034483,0.03448276,0.01724138,0.38793103,0.56034483
55,0.4,2,A1,3,0.50800493,0.02586207,0.03509852,0.43103448,0.50800493
56,0.4,2,B1,4,0.5625,0,0.01785714,0.5625,0.41964286
57,0.4,2,A1,3,0.49107143,0.02678571,0,0.48214286,0.49107143
58,0.4,2,A1,3,0.51785714,0.02678571,0.01785714,0.4375,0.51785714
59,0.4,2,B1,4,0.54464286,0,0.01785714,0.54464286,0.4375
60,0.4,2,B1,4,0.54464286,0,0,0.54464286,0.45535714
61,0.4,2,B1,4,0.59821429,0,0.01785714,0.59821429,0.38392857
62,0.4,2,B1,4,0.59821429,0,0.01785714,0.59821429,0.38392857
63,0.4,2,B1,4,0.62130542,0,0,0.62130542,0.37869458
64,0.4,2,B1,4,0.52586207,0.01724138,0.01724138,0.52586207,0.43965517
65,0.4,2,A1,4,0.52586207,0.01724138,0.01724138,0.43965517,0.52586207
66,0.4,2,B1,3,0.50862069,0.02586207,0,0.50862069,0.46551724
67,0.4,2,A1,4,0.49137931,0.04310345,0,0.46551724,0.49137931
68,0.4,2,A1,4,0.51724138,0.02586207,0,0.45689655,0.51724138
69,0.4,2,A1,4,0.56219212,0.00862069,0,0.42918719,0.56219212
70,0.4,2,A1,4,0.58928571,0,0,0.41071429,0.58928571
71,0.4,2,A1,3,0.60714286,0.00892857,0,0.38392857,0.60714286
72,0.4,2,A1,3,0.58004926,0.02616995,0.02586207,0.36791872,0.58004926
73,0.4,2,A1,3,0.52586207,0.01724138,0.03448276,0.42241379,0.52586207
74,0.4,2,B1,4,0.59482759,0,0.00862069,0.59482759,0.39655172
75,0.4,2,B1,4,0.67241379,0,0.00862069,0.67241379,0.31896552
76,0.4,2,B1,4,0.58743842,0,0.04433498,0.58743842,0.3682266
77,0.4,2,B1,4,0.64285714,0,0.03571429,0.64285714,0.32142857
78,0.4,2,B1,4,0.72321429,0,0,0.72321429,0.27678571
79,0.4,2,B1,4,0.67641626,0,0,0.67641626,0.32358374
80,0.4,2,B1,3,0.52463054,0,0,0.52463054,0.47536946
81,0.4,2,A1,4,0.60714286,0,0,0.39285714,0.60714286
82,0.4,2,A1,4,0.63392857,0,0,0.36607143,0.63392857
83,0.4,2,A1,4,0.60560345,0.03448276,0,0.35991379,0.60560345
84,0.4,2,A1,4,0.54310345,0.03448276,0,0.42241379,0.54310345
85,0.4,2,A1,4,0.5,0,0,0.5,0.5
86,0.4,2,A1,3,0.52678571,0,0,0.47321429,0.52678571
87,0.4,2,A1,3,0.50892857,0,0,0.49107143,0.50892857
88,0.4,2,B1,4,0.53571429,0,0.00892857,0.53571429,0.45535714
89,0.4,2,B1,4,0.59821429,0,0.00892857,0.59821429,0.39285714
90,0.4,2,B1,4,0.59821429,0,0,0.59821429,0.40178571
91,0.4,2,B1,4,0.59821429,0,0,0.59821429,0.40178571
92,0.4,2,B1,4,0.59759852,0,0,0.59759852,0.40240148
93,0.4,2,A1,4,0.53448276,0.01724138,0,0.44827586,0.53448276
94,0.4,2,A1,4,0.51724138,0.01724138,0,0.46551724,0.51724138
95,0.4,2,B1,3,0.50769704,0,0.03571429,0.50769704,0.45658867
96,0.4,2,A1,4,0.56865764,0.00862069,0.03571429,0.38700739,0.56865764
97,0.4,2,A1,3,0.56896552,0.00862069,0.01724138,0.40517241,0.56896552
98,0.4,2,B1,3,0.50923645,0.01785714,0.01724138,0.50923645,0.45566502
99,0.4,2,B1,4,0.55357143,0.02678571,0,0.55357143,0.41964286
100,0.4,2,B1,4,0.51785714,0.01785714,0,0.51785714,0.46428571
1,0.4,7,A1,3,0.47142857,0.03035714,0.17142857,0.32678571,0.47142857
2,0.4,7,B1,4,0.4375,0.03571429,0.17857143,0.4375,0.34821429
3,0.4,7,B1,4,0.47321429,0.05357143,0.13392857,0.47321429,0.33928571
4,0.4,7,B1,4,0.5,0.10714286,0.16071429,0.5,0.23214286
5,0.4,7,B1,4,0.45535714,0.11607143,0.16071429,0.45535714,0.26785714
6,0.4,7,B1,4,0.47259852,0.096367,0.15825123,0.47259852,0.27278325
7,0.4,7,B1,3,0.45689655,0.10344828,0.12068966,0.45689655,0.31896552
8,0.4,7,A1,4,0.45689655,0.10529557,0.08743842,0.35036946,0.45689655
9,0.4,7,A1,4,0.47321429,0.14285714,0.05357143,0.33035714,0.47321429
10,0.4,7,A1,4,0.49107143,0.17857143,0.02678571,0.30357143,0.49107143
11,0.4,7,A1,4,0.54464286,0.16964286,0.02678571,0.25892857,0.54464286
