model,setting,groupn,run,s,a,first.stable.gen,n.gens.stable,first.stable.gen.fuzzy,n.gens.stable.fuzzy
sc,x,100,16,0,3,74,26,74,26
sc,x,100,17,0,3,100,0,100,0
sc,x,100,18,0,3,83,17,83,17
sc,x,100,19,0,3,100,0,100,0
sc,x,100,20,0,3,100,0,100,0
sc,x,100,1,0,4,89,11,89,11
sc,x,100,2,0,4,100,0,100,0
sc,x,100,3,0,4,94,6,94,6
sc,x,100,4,0,4,76,24,76,24
sc,x,100,5,0,4,100,0,100,0
sc,x,100,6,0,4,67,33,67,33
sc,x,100,7,0,4,100,0,100,0
sc,x,100,8,0,4,95,5,95,5
sc,x,100,9,0,4,91,9,91,9
sc,x,100,10,0,4,86,14,86,14
sc,x,100,11,0,4,100,0,100,0
sc,x,100,12,0,4,70,30,70,30
sc,x,100,13,0,4,99,1,99,1
sc,x,100,14,0,4,81,19,81,19
sc,x,100,15,0,4,100,0,100,0
sc,x,100,16,0,4,71,29,71,29
sc,x,100,17,0,4,100,0,100,0
sc,x,100,18,0,4,84,16,84,16
sc,x,100,19,0,4,83,17,83,17
sc,x,100,20,0,4,70,30,70,30
sc,x,100,1,0,5,65,35,65,35
sc,x,100,2,0,5,84,16,84,16
sc,x,100,3,0,5,100,0,100,0
sc,x,100,4,0,5,88,12,88,12
sc,x,100,5,0,5,100,0,99,1
sc,x,100,6,0,5,77,23,77,23
sc,x,100,7,0,5,92,8,92,8
sc,x,100,8,0,5,79,21,79,21
sc,x,100,9,0,5,81,19,81,19
sc,x,100,10,0,5,69,31,69,31
sc,x,100,11,0,5,79,21,79,21
sc,x,100,12,0,5,73,27,73,27
sc,x,100,13,0,5,70,30,70,30
sc,x,100,14,0,5,86,14,86,14
sc,x,100,15,0,5,77,23,77,23
sc,x,100,16,0,5,85,15,85,15
sc,x,100,17,0,5,73,27,73,27
sc,x,100,18,0,5,70,30,70,30
sc,x,100,19,0,5,79,21,79,21
sc,x,100,20,0,5,70,30,70,30
sc,x,100,1,0,6,66,34,66,34
sc,x,100,2,0,6,64,36,64,36
sc,x,100,3,0,6,81,19,81,19
sc,x,100,4,0,6,100,0,93,7
sc,x,100,5,0,6,66,34,66,34
sc,x,100,6,0,6,74,26,74,26
sc,x,100,7,0,6,99,1,99,1
sc,x,100,8,0,6,90,10,90,10
sc,x,100,9,0,6,98,2,90,10
sc,x,100,10,0,6,64,36,64,36
sc,x,100,11,0,6,75,25,75,25
sc,x,100,12,0,6,88,12,88,12
sc,x,100,13,0,6,64,36,64,36
sc,x,100,14,0,6,65,35,65,35
sc,x,100,15,0,6,68,32,68,32
sc,x,100,16,0,6,83,17,83,17
sc,x,100,17,0,6,82,18,82,18
sc,x,100,18,0,6,66,34,66,34
sc,x,100,19,0,6,80,20,80,20
sc,x,100,20,0,6,74,26,74,26
sc,x,100,1,0,7,67,33,67,33
sc,x,100,2,0,7,69,31,69,31
sc,x,100,3,0,7,69,31,69,31
sc,x,100,4,0,7,80,20,80,20
sc,x,100,5,0,7,66,34,66,34
sc,x,100,6,0,7,62,38,62,38
sc,x,100,7,0,7,89,11,89,11
sc,x,100,8,0,7,71,29,71,29
sc,x,100,9,0,7,65,35,65,35
sc,x,100,10,0,7,85,15,85,15
sc,x,100,11,0,7,88,12,88,12
sc,x,100,12,0,7,71,29,71,29
sc,x,100,13,0,7,72,28,72,28
sc,x,100,14,0,7,76,24,76,24
sc,x,100,15,0,7,91,9,91,9
sc,x,100,16,0,7,66,34,66,34
sc,x,100,17,0,7,75,25,75,25
sc,x,100,18,0,7,67,33,67,33
sc,x,100,19,0,7,65,35,65,35
sc,x,100,20,0,7,70,30,70,30
sc,x,100,1,0,8,73,27,73,27
sc,x,100,2,0,8,79,21,79,21
sc,x,100,3,0,8,68,32,68,32
sc,x,100,4,0,8,75,25,75,25
sc,x,100,5,0,8,69,31,69,31
sc,x,100,6,0,8,76,24,76,24
sc,x,100,7,0,8,78,22,78,22
sc,x,100,8,0,8,94,6,94,6
sc,x,100,9,0,8,65,35,65,35
sc,x,100,10,0,8,98,2,98,2
sc,x,100,11,0,8,75,25,75,25
sc,x,100,12,0,8,70,30,70,30
sc,x,100,13,0,8,91,9,91,9
sc,x,100,14,0,8,90,10,90,10
sc,x,100,15,0,8,61,39,61,39
sc,x,100,16,0,8,64,36,64,36
sc,x,100,17,0,8,100,0,100,0
sc,x,100,18,0,8,85,15,85,15
sc,x,100,19,0,8,89,11,89,11
sc,x,100,20,0,8,96,4,96,4
sc,x,100,1,0,9,83,17,83,17
sc,x,100,2,0,9,86,14,86,14
sc,x,100,3,0,9,99,1,99,1
sc,x,100,4,0,9,78,22,78,22
sc,x,100,5,0,9,63,37,63,37
sc,x,100,6,0,9,70,30,70,30
sc,x,100,7,0,9,75,25,75,25
sc,x,100,8,0,9,80,20,80,20
sc,x,100,9,0,9,93,7,93,7
sc,x,100,10,0,9,85,15,85,15
sc,x,100,11,0,9,75,25,75,25
sc,x,100,12,0,9,66,34,66,34
sc,x,100,13,0,9,82,18,82,18
sc,x,100,14,0,9,66,34,66,34
sc,x,100,15,0,9,92,8,92,8
sc,x,100,16,0,9,61,39,61,39
sc,x,100,17,0,9,69,31,69,31
sc,x,100,18,0,9,69,31,69,31
sc,x,100,19,0,9,81,19,81,19
sc,x,100,20,0,9,70,30,70,30
sc,x,100,1,0.05,0,1,99,100,0
sc,x,100,2,0.05,0,1,99,100,0
sc,x,100,3,0.05,0,1,99,100,0
sc,x,100,4,0.05,0,1,99,100,0
sc,x,100,5,0.05,0,1,99,100,0
sc,x,100,6,0.05,0,1,99,100,0
sc,x,100,7,0.05,0,1,99,100,0
sc,x,100,8,0.05,0,1,99,100,0
sc,x,100,9,0.05,0,1,99,100,0
sc,x,100,10,0.05,0,1,99,100,0
sc,x,100,11,0.05,0,1,99,100,0
sc,x,100,12,0.05,0,1,99,100,0
sc,x,100,13,0.05,0,1,99,100,0
sc,x,100,14,0.05,0,1,99,100,0
sc,x,100,15,0.05,0,1,99,100,0
sc,x,100,16,0.05,0,1,99,100,0
sc,x,100,17,0.05,0,1,99,100,0
sc,x,100,18,0.05,0,1,99,100,0
sc,x,100,19,0.05,0,1,99,100,0
sc,x,100,20,0.05,0,1,99,100,0
sc,x,100,1,0.05,1,100,0,100,0
sc,x,100,2,0.05,1,100,0,100,0
sc,x,100,3,0.05,1,100,0,100,0
sc,x,100,4,0.05,1,100,0,100,0
sc,x,100,5,0.05,1,100,0,100,0
sc,x,100,6,0.05,1,100,0,100,0
sc,x,100,7,0.05,1,83,17,100,0
sc,x,100,8,0.05,1,100,0,100,0
sc,x,100,9,0.05,1,100,0,100,0
sc,x,100,10,0.05,1,100,0,100,0
sc,x,100,11,0.05,1,100,0,100,0
sc,x,100,12,0.05,1,100,0,100,0
sc,x,100,13,0.05,1,100,0,100,0
sc,x,100,14,0.05,1,100,0,100,0
sc,x,100,15,0.05,1,99,1,100,0
sc,x,100,16,0.05,1,100,0,100,0
sc,x,100,17,0.05,1,100,0,100,0
sc,x,100,18,0.05,1,100,0,100,0
sc,x,100,19,0.05,1,100,0,100,0
sc,x,100,20,0.05,1,100,0,100,0
sc,x,100,1,0.05,2,97,3,97,3
sc,x,100,2,0.05,2,95,5,95,5
sc,x,100,3,0.05,2,100,0,100,0
sc,x,100,4,0.05,2,99,1,99,1
sc,x,100,5,0.05,2,100,0,100,0
sc,x,100,6,0.05,2,93,7,93,7
sc,x,100,7,0.05,2,100,0,100,0
sc,x,100,8,0.05,2,100,0,100,0
sc,x,100,9,0.05,2,100,0,100,0
sc,x,100,10,0.05,2,76,24,100,0
sc,x,100,11,0.05,2,100,0,100,0
sc,x,100,12,0.05,2,100,0,100,0
sc,x,100,13,0.05,2,100,0,100,0
sc,x,100,14,0.05,2,100,0,100,0
sc,x,100,15,0.05,2,100,0,100,0
sc,x,100,16,0.05,2,99,1,99,1
sc,x,100,17,0.05,2,100,0,100,0
sc,x,100,18,0.05,2,97,3,97,3
