gen,s,a,tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
2,0.4,7,B1,4,0.58264199,0,0.10821644,0.58264199,0.30914156
3,0.4,7,B1,4,0.64892622,0,0.11027199,0.64892622,0.24080179
4,0.4,7,B1,4,0.70425662,0,0.10751596,0.70425662,0.18822742
5,0.4,7,B1,4,0.74963869,0,0.09907452,0.74963869,0.15128679
6,0.4,7,B1,2,0.59740825,0.04225845,0.0470141,0.59740825,0.3133192
7,0.4,7,A1,3,0.44408882,0.17288458,0.17328466,0.20974195,0.44408882
8,0.4,7,A1,3,0.35547109,0.3425185,0.3020104,0,0.35547109
9,0.4,7,B2,4,0.49259852,0.49259852,0.24059812,0,0.26680336
10,0.4,7,B2,3,0.4584917,0.4584917,0.11187237,0.085017,0.34461892
11,0.4,7,A1,4,0.50230046,0.34496899,0,0.15273055,0.50230046
12,0.4,7,A1,3,0.46074215,0.16718344,0.12692539,0.24514903,0.46074215
13,0.4,7,B1,4,0.38002601,0,0.25035007,0.38002601,0.36962392
14,0.4,7,B1,4,0.44923985,0,0.24459892,0.44923985,0.30616123
15,0.4,7,B1,4,0.51738055,0,0.23480833,0.51738055,0.24781113
16,0.4,7,B1,4,0.56003908,0,0.22715679,0.56003908,0.21280412
17,0.4,7,B1,4,0.59571914,0,0.22384477,0.59571914,0.18043609
18,0.4,7,B1,4,0.62712543,0,0.21819364,0.62712543,0.15468094
19,0.4,7,B1,3,0.54148622,0.09965997,0.10787157,0.54148622,0.25098224
20,0.4,7,B1,3,0.41286049,0.19942992,0,0.41286049,0.38770959
21,0.4,7,A1,4,0.44923985,0.20589118,0,0.34486897,0.44923985
22,0.4,7,A1,4,0.50715143,0.20584117,0,0.2870074,0.50715143
23,0.4,7,A1,4,0.54675935,0.20494099,0,0.24829966,0.54675935
24,0.4,7,A1,4,0.58226645,0.20634127,0,0.21139228,0.58226645
25,0.4,7,A1,4,0.61872374,0.20139028,0,0.17988598,0.61872374
26,0.4,7,A1,3,0.52403412,0.10027005,0.0949595,0.28073633,0.52403412
27,0.4,7,B1,4,0.42816582,0,0.18362723,0.42816582,0.38820695
28,0.4,7,B1,4,0.49934987,0,0.1839868,0.49934987,0.31666333
29,0.4,7,B1,4,0.55296059,0,0.18783757,0.55296059,0.25920184
30,0.4,7,B1,4,0.59366873,0,0.18203641,0.59366873,0.22429486
31,0.4,7,B1,4,0.63807762,0,0.17603521,0.63807762,0.18588718
32,0.4,7,B1,4,0.67523505,0,0.16833367,0.67523505,0.15643129
33,0.4,7,B1,3,0.56956391,0.07526505,0.08181636,0.56956391,0.27335467
34,0.4,7,A1,4,0.43263653,0.15108022,0,0.41628326,0.43263653
35,0.4,7,A1,4,0.50887391,0.14967255,0,0.34145354,0.50887391
36,0.4,7,A1,4,0.57146571,0.14928001,0,0.27925427,0.57146571
37,0.4,7,A1,4,0.60945117,0.15158786,0,0.23896097,0.60945117
38,0.4,7,A1,4,0.64782957,0.14952991,0,0.20264053,0.64782957
39,0.4,7,A1,4,0.68283657,0.14517904,0,0.1719844,0.68283657
40,0.4,7,A1,3,0.56611322,0.07181436,0.0670134,0.29505901,0.56611322
41,0.4,7,B1,4,0.46741838,0,0.13138271,0.46741838,0.40119891
42,0.4,7,B1,4,0.54435422,0,0.13142602,0.54435422,0.32421976
43,0.4,7,B1,4,0.61254297,0,0.13116953,0.61254297,0.25628751
44,0.4,7,B1,4,0.65673135,0,0.12407481,0.65673135,0.21919384
45,0.4,7,B1,4,0.6968751,0,0.11842953,0.6968751,0.18469537
46,0.4,7,B1,4,0.72981895,0,0.11113334,0.72981895,0.15904771
47,0.4,7,B1,3,0.58498301,0.04930493,0.0526658,0.58498301,0.31304626
48,0.4,7,A1,4,0.51142846,0.09631433,0,0.39225721,0.51142846
49,0.4,7,A1,4,0.58746749,0.09726945,0,0.31526305,0.58746749
50,0.4,7,A1,4,0.65288058,0.1005201,0,0.24659932,0.65288058
51,0.4,7,A1,3,0.53925785,0.26005201,0.0895179,0.11117223,0.53925785
52,0.4,7,B2,4,0.47911889,0.47911889,0.16362531,0,0.35725579
53,0.4,7,B2,3,0.47356778,0.47356778,0.27414742,0.09571914,0.15656566
54,0.4,7,A2,3,0.37602521,0.20424085,0.37602521,0.25530106,0.16443289
55,0.4,7,B1,4,0.37362472,0,0.34556911,0.37362472,0.28080616
56,0.4,7,B1,4,0.46876923,0,0.30407426,0.46876923,0.22715651
57,0.4,7,B1,4,0.5296314,0,0.26691683,0.5296314,0.20345177
58,0.4,7,B1,4,0.57571514,0,0.25040008,0.57571514,0.17388478
59,0.4,7,B1,4,0.61795531,0,0.2323079,0.61795531,0.1497368
60,0.4,7,B1,3,0.53903952,0.10347069,0.1143343,0.53903952,0.24315548
61,0.4,7,B1,3,0.41153231,0.21104221,0,0.41153231,0.37742549
62,0.4,7,A1,4,0.43986168,0.21525382,0,0.3448845,0.43986168
63,0.4,7,A1,4,0.49374679,0.21689323,0,0.28935999,0.49374679
64,0.4,7,A1,4,0.53028039,0.22038316,0,0.24933646,0.53028039
65,0.4,7,A1,4,0.56369175,0.22210551,0,0.21420274,0.56369175
66,0.4,7,A1,4,0.5964483,0.21615432,0,0.18739738,0.5964483
67,0.4,7,A1,3,0.51280256,0.10522104,0.10212042,0.27985597,0.51280256
68,0.4,7,B1,4,0.41323265,0,0.20059012,0.41323265,0.38617724
69,0.4,7,B1,4,0.48097028,0,0.1995798,0.48097028,0.31944992
70,0.4,7,B1,4,0.53773163,0,0.19822953,0.53773163,0.26403884
71,0.4,7,B1,4,0.58321664,0,0.18993799,0.58321664,0.22684537
72,0.4,7,B1,4,0.62147429,0,0.18538708,0.62147429,0.19313863
73,0.4,7,B1,4,0.65431461,0,0.18204536,0.65431461,0.16364003
74,0.4,7,B1,3,0.55987349,0.07975798,0.08947684,0.55987349,0.27089169
75,0.4,7,A1,4,0.4264155,0.16182439,0,0.41176011,0.4264155
76,0.4,7,A1,4,0.49154831,0.16788358,0,0.34056811,0.49154831
77,0.4,7,A1,4,0.54760952,0.17063413,0,0.28175635,0.54760952
78,0.4,7,A1,4,0.5934378,0.16477496,0,0.24178724,0.5934378
79,0.4,7,A1,4,0.63502874,0.16008203,0,0.20488922,0.63502874
80,0.4,7,A1,4,0.66925078,0.15739722,0,0.17335201,0.66925078
81,0.4,7,A1,3,0.55886766,0.07727318,0.07342203,0.29043713,0.55886766
82,0.4,7,B1,4,0.45293588,0,0.14454336,0.45293588,0.40252076
83,0.4,7,B1,4,0.5286586,0,0.14539362,0.5286586,0.32594778
84,0.4,7,B1,4,0.59649795,0,0.14643671,0.59649795,0.25706534
85,0.4,7,B1,4,0.64031109,0,0.1417353,0.64031109,0.2179536
86,0.4,7,B1,4,0.68226948,0,0.13393374,0.68226948,0.18379677
87,0.4,7,B1,4,0.72285748,0,0.12471891,0.72285748,0.15242361
88,0.4,7,B1,3,0.58565152,0.05636691,0.06035604,0.58565152,0.29762554
89,0.4,7,A1,4,0.49222133,0.11087781,0,0.39690086,0.49222133
90,0.4,7,A1,4,0.56626325,0.11227245,0,0.32146429,0.56626325
91,0.4,7,A1,4,0.62800811,0.11307815,0,0.25891374,0.62800811
92,0.4,7,A1,4,0.67726796,0.11002754,0,0.2127045,0.67726796
93,0.4,7,A1,4,0.72454491,0.10417083,0,0.17128426,0.72454491
94,0.4,7,A1,3,0.57211442,0.04945989,0.04740948,0.3310162,0.57211442
95,0.4,7,B1,4,0.54325865,0,0.08896779,0.54325865,0.36777355
96,0.4,7,B1,3,0.49342838,0.12161216,0.21692585,0.49342838,0.16803361
97,0.4,7,A2,4,0.40686384,0.22713327,0.40686384,0.3660029,0
98,0.4,7,A2,4,0.53610722,0.19353871,0.53610722,0.27035407,0
99,0.4,7,A2,3,0.47757822,0.0880176,0.47757822,0.36229697,0.07210721
100,0.4,7,B1,3,0.44936438,0.15933187,0.1729673,0.44936438,0.21833646
1,0.4,2,A1,3,0.50005,0.0125,0.1224,0.36505,0.50005
2,0.4,2,B1,4,0.52945538,0,0.17326767,0.52945538,0.29727695
3,0.4,2,B1,4,0.56483417,0,0.19102794,0.56483417,0.24413789
4,0.4,2,B1,4,0.5769866,0,0.20748123,0.5769866,0.21553217
5,0.4,2,B1,4,0.58231646,0,0.21639328,0.58231646,0.20129026
6,0.4,2,B1,3,0.4627756,0.11651165,0.11157231,0.4627756,0.30914043
7,0.4,2,A1,4,0.44129413,0.23637364,0,0.32233223,0.44129413
8,0.4,2,A1,4,0.46897106,0.25423886,0,0.27679008,0.46897106
9,0.4,2,A1,4,0.48787295,0.27354079,0,0.23858626,0.48787295
10,0.4,2,A1,4,0.49782494,0.28184245,0,0.22033261,0.49782494
11,0.4,2,A1,4,0.50540108,0.2980096,0,0.19658932,0.50540108
12,0.4,2,A1,3,0.41708342,0.15533107,0.16558312,0.2620024,0.41708342
13,0.4,2,B1,4,0.35462092,0,0.335017,0.35462092,0.31036207
14,0.4,2,B1,4,0.37925627,0,0.35570251,0.37925627,0.26504121
15,0.4,2,B1,4,0.38495741,0,0.38460829,0.38495741,0.23043429
16,0.4,2,A2,2,0.40590194,0,0.40590194,0.38264587,0.21145219
17,0.4,2,A2,2,0.42240524,0,0.42240524,0.38514638,0.19244839
18,0.4,2,A2,2,0.44293859,0,0.44293859,0.38072615,0.17633527
19,0.4,2,B1,3,0.32746549,0.24189838,0.22809562,0.32746549,0.20254051
20,0.4,2,B2,2,0.49744949,0.49744949,0,0.25325065,0.24929986
21,0.4,2,B2,2,0.52823291,0.52823291,0,0.20404973,0.26771735
22,0.4,2,B2,2,0.56033934,0.56033934,0,0.16659224,0.27306842
23,0.4,2,B2,2,0.58871774,0.58871774,0,0.14037808,0.27090418
24,0.4,2,A2,2,0.30879264,0.30106021,0.30879264,0.1403358,0.24981135
25,0.4,2,A2,2,0.63370762,0,0.63370762,0.16404054,0.20225184
26,0.4,2,A2,2,0.66013203,0,0.66013203,0.18453691,0.15533107
27,0.4,2,A2,2,0.68825235,0,0.68825235,0.18852863,0.12321902
28,0.4,2,A2,2,0.72235917,0,0.72235917,0.17422577,0.10341506
29,0.4,2,A2,2,0.75060012,0,0.75060012,0.16303261,0.08636727
30,0.4,2,B2,2,0.393318,0.393318,0.38127626,0.14668605,0.0787197
31,0.4,2,B2,2,0.79463839,0.79463839,0,0.11993598,0.08542563
32,0.4,2,B2,2,0.81610335,0.81610335,0,0.08392206,0.09997459
33,0.4,2,B2,2,0.84386168,0.84386168,0,0.05691396,0.09922436
34,0.4,2,B2,2,0.86307212,0.86307212,0,0.04540969,0.09151818
35,0.4,2,A2,2,0.44214421,0.4339934,0.44214421,0.03760376,0.08625863
36,0.4,2,A2,2,0.8904287,0,0.8904287,0.04170892,0.06786238
37,0.4,2,A2,2,0.90767636,0,0.90767636,0.04841206,0.04391158
38,0.4,2,A2,2,0.92303461,0,0.92303461,0.04890978,0.02805561
39,0.4,2,A2,2,0.93208326,0,0.93208326,0.04571129,0.02220545
40,0.4,2,A2,2,0.93983481,0,0.93983481,0.04216058,0.01800461
41,0.4,2,B2,2,0.47729773,0.47729773,0.47139428,0.03715579,0.01415221
42,0.4,2,B2,2,0.95454318,0.95454318,0,0.02830402,0.01715281
43,0.4,2,B2,2,0.95944011,0.95944011,0,0.01765411,0.02290578
44,0.4,2,B2,2,0.96714014,0.96714014,0,0.01085326,0.0220066
45,0.4,2,B2,2,0.97069263,0.97069263,0,0.00880227,0.0205051
46,0.4,2,A2,2,0.48779756,0.48574715,0.48779756,0.00660132,0.01985397
47,0.4,2,A2,2,0.97659532,0,0.97659532,0.00790158,0.0155031
48,0.4,2,A2,2,0.98049693,0,0.98049693,0.01085159,0.00865148
49,0.4,2,A2,2,0.98359755,0,0.98359755,0.01125167,0.00515078
50,0.4,2,A2,2,0.98539708,0,0.98539708,0.01010202,0.0045009
51,0.4,2,A2,2,0.98819817,0,0.98819817,0.00845131,0.00335052
52,0.4,2,B2,2,0.49494848,0.49494848,0.49469947,0.00775157,0.00260048
53,0.4,2,B2,2,0.99074722,0.99074722,0,0.00670201,0.00255077
54,0.4,2,B2,2,0.9919976,0.9919976,0,0.0036511,0.00435131
55,0.4,2,B2,2,0.99314825,0.99314825,0,0.00190047,0.00495128
56,0.4,2,B2,2,0.99439888,0.99439888,0,0.0015003,0.00410082
57,0.4,2,B2,1,0.49744949,0.49744949,0.49679936,0.00140028,0.00435087
58,0.4,2,A2,2,0.99529906,0,0.99529906,0.0015003,0.00320064
59,0.4,2,A2,2,0.9964993,0,0.9964993,0.00180036,0.00170034
60,0.4,2,A2,2,0.99714943,0,0.99714943,0.00180036,0.00105021
61,0.4,2,A2,2,0.9974995,0,0.9974995,0.00195039,0.00055011
62,0.4,2,A2,2,0.9974995,0,0.9974995,0.0020004,0.0005001
