tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
A2,3,0.38919893,0.33127889,0.389198931,0,0.279522179
B2,4,0.46066656,0.46066656,0.317849614,0,0.221483826
B2,4,0.55233489,0.55233489,0.257637571,0,0.190027534
B2,4,0.63122625,0.63122625,0.212642529,0,0.156131226
B2,3,0.54780956,0.54780956,0.094568914,0.0730146,0.284606921
A1,4,0.4754951,0.38767754,0,0.13682737,0.475495099
A1,3,0.46374275,0.1744849,0.128025605,0.23374675,0.463742749
B1,4,0.38432687,0,0.24134827,0.38432687,0.374324865
B1,4,0.48539708,0,0.217093419,0.48539708,0.297509502
B1,4,0.5693437,0,0.193797762,0.5693437,0.236858535
B1,4,0.62765537,0,0.167092421,0.62765537,0.205252214
B1,4,0.69250218,0,0.141071814,0.69250218,0.166426004
B1,2,0.5625762,0.05586117,0.30875535,0.5625762,0.072807281
A2,2,0.45134027,0.18858772,0.451340268,0.19938988,0.160682136
A2,2,0.38507702,0.34281856,0.385077015,0,0.272104421
B2,4,0.47414483,0.47414483,0.314612923,0,0.211242248
B2,4,0.57311462,0.57311462,0.25075015,0,0.176135227
B2,3,0.50565113,0.50565113,0.114622925,0.09096819,0.288757752
A1,4,0.46754351,0.36327265,0,0.16918384,0.467543509
A1,4,0.56506301,0.28495699,0,0.14998,0.565063013
A1,3,0.51510302,0.11827365,0.105171034,0.26145229,0.515103021
B1,4,0.43138628,0,0.193388678,0.43138628,0.375225045
B1,4,0.53772794,0,0.167675589,0.53772794,0.294596468
B1,4,0.61792617,0,0.148028517,0.61792617,0.234045311
B1,3,0.67861791,0,0.127682394,0.67861791,0.193699693
B1,3,0.56608415,0.06737021,0.282378802,0.56608415,0.084166833
A2,4,0.4949985,0.1219866,0.4949985,0.3830149,0
A2,3,0.48777473,0.22405027,0.487774728,0.1736521,0.114522905
A2,3,0.40301191,0.38315526,0.403011906,0,0.213832836
B2,4,0.49317726,0.49317726,0.325446392,0,0.181376344
B2,4,0.5870174,0.5870174,0.25910182,0,0.153880776
B2,3,0.51462363,0.51462363,0.120624125,0.09137741,0.273374831
A1,4,0.44375891,0.39034878,0,0.16589232,0.443758908
A1,4,0.54207843,0.3156999,0,0.14222167,0.542078428
A1,3,0.49866975,0.13241324,0.119123825,0.24979319,0.498669746
B1,4,0.41268254,0,0.218393679,0.41268254,0.368923785
B1,4,0.51795359,0,0.187437487,0.51795359,0.294608922
B1,4,0.60372074,0,0.167683537,0.60372074,0.228595719
B1,4,0.6684689,0,0.142784884,0.6684689,0.188746212
B1,3,0.55029527,0.06976395,0.29531539,0.55029527,0.084625388
A2,3,0.42358472,0.21719344,0.423584717,0.19818964,0.161032206
B2,4,0.37127425,0.37127425,0.361872374,0,0.266853371
B2,4,0.50485097,0.50485097,0.295759152,0,0.199389878
B2,4,0.60310283,0.60310283,0.224604839,0,0.172292331
B2,3,0.51808583,0.51808583,0.099179754,0.08031606,0.302418356
A1,4,0.48744749,0.3660232,0,0.14652931,0.487447489
A1,3,0.46519304,0.17003401,0.117923585,0.24684937,0.465193039
B1,4,0.40173035,0,0.222294459,0.40173035,0.375975195
B1,4,0.50595119,0,0.193088618,0.50595119,0.300960192
